Date	ATRCT	AVBLS	ETRAV	NADDU	NTRAN	NTRBL	NTREP	TOUTV	TRFEE	Volume_BTC	Volume_Currency	Weighted_Price	JPY_Rate	GBP_Rate	CHF_Rate	EUR_Rate	CNY_Rate	CAD_Rate	SEK_Rate	Dollar_Index
2013-07-12	8.58333333333	0.138466216579	329323	69663	50045	234	33625	1134412.88772	32.05021445	14153.93	1266493.42	89.48	0.0100859321418486	1.51299893030976	1.05445078403688	1.30662760721206	0.16190818510639	0.963038579325488	0.150015451591514	1
2013-07-13	9.58333333333	0.123121293175	286972	57072	40313	239	25977	881201.15867	25.13594621	5839.73	507656.39	86.93	NA	NA	NA	NA	NA	NA	NA	NA
2013-07-14	7.65	0.0952460809719	170728	38740	34150	224	17989	694343.801057	31.82965821	2194.81	193975.53	88.38	NA	NA	NA	NA	NA	NA	NA	NA
2013-07-15	7.41666666667	0.097696008738	150769	46589	36738	179	21699	605676.645716	23.34949228	4911.84	444023.51	90.4	0.0100534340017191	1.51108532192162	1.05454196497023	1.30573190190297	0.16185682145574	0.962028726177764	0.149807796596966	1
2013-07-16	8.41666666667	0.103534861309	224314	53761	38784	189	25421	906868.49648	34.01475967	3557.8	319776.5	89.88	0.0100402211258301	1.51015199679848	1.05669149891689	1.30829603599384	0.161919982383106	0.960494846945146	0.150241964684124	1
2013-07-17	7.7	0.101769492471	365413	54355	39565	206	26069	1104177.14437	33.40695216	3177.01	283582.94	89.26	0.0100495240545408	1.51449982128902	1.06137056904322	1.31231012512877	0.162035686739648	0.961279655477371	0.151337444667247	1
2013-07-18	6.81666666667	0.105887601542	330487	54308	41257	273	26312	965209.821065	27.59409047	6979.79	586473.69	84.02	0.0100110121133247	1.51869975002202	1.06104285658202	1.31160614041531	0.161946466975876	0.961122591186506	0.151898811088006	1
2013-07-19	7.25	0.0957881995207	284835	48100	38020	259	24401	872196.437075	33.02637011	2953.46	247455.97	83.79	0.00997536085867906	1.52282331442494	1.06059159799336	1.31161818270054	0.161868349234201	0.96268627979514	0.152357968093194	1
2013-07-20	7	0.076951898993	134513	44457	33626	308	20029	567387.924464	21.48857703	1745.91	147137.3	84.28	NA	NA	NA	NA	NA	NA	NA	NA
2013-07-21	6.93333333333	0.0855443074153	129945	43487	36884	232	21524	505908.066565	26.49400011	1583.5	132719.1	83.81	NA	NA	NA	NA	NA	NA	NA	NA
2013-07-22	7	0.0889993985494	225427	46082	37257	218	22602	866111.17252	21.9931243	1778.82	149956.84	84.3	0.00999450302333716	1.52860789678839	1.06395655652588	1.31518379693562	0.161920768929347	0.965372102676977	0.153200824833241	1
2013-07-23	9.25	0.121219437698	308763	54206	39644	187	26085	1029842.14766	31.91271509	3994	342048.86	85.64	0.0100270730973629	1.53427179624871	1.06684874218533	1.3185584464217	0.161996837821726	0.967951137826563	0.154156126241535	1
2013-07-24	8.35	0.115515962824	236063	54521	39963	266	26735	844442.524836	32.92301081	2584.33	224216.86	86.76	0.010016798170532	1.53551335282412	1.0680189210232	1.32095510337795	0.162014422523893	0.970308558121483	0.154528933997602	1
2013-07-25	9.33333333333	0.138774816137	182581	51978	42304	216	26580	777831.892904	34.86795346	3706.99	325160.04	87.72	0.0100098797513145	1.53370234211685	1.06860440265014	1.32159405388403	0.161963778420594	0.970308558121483	0.15398900826459	1
2013-07-26	7.01666666667	0.105780285396	203643	55955	41428	260	27299	869402.177016	22.80421394	3632.22	323454.85	89.05	0.0100871937023632	1.5364310856883	1.07357994896201	1.32540564039624	0.161991589396679	0.972147960919652	0.154146145960986	1
2013-07-27	7.88333333333	0.0957575711337	145742	42750	35987	247	21881	533718.336343	30.69502419	2331.83	204027.16	87.5	NA	NA	NA	NA	NA	NA	NA	NA
2013-07-28	7.63333333333	0.0836667906767	103149	37554	33111	279	18416	475543.786781	19.93133624	3675.05	326999.3	88.98	NA	NA	NA	NA	NA	NA	NA	NA
2013-07-29	8.2	0.120026513755	179861	54397	44260	274	26191	801401.498917	30.87144133	4519.47	410503.91	90.83	0.0101820344112035	1.53781329101271	1.07620268340377	1.32744126404267	0.161982405471118	0.973397058394089	0.154507445713809	1
2013-07-30	6.35	0.0937530517578	171115	55581	39998	260	27480	881026.573102	37.36421201	4359.16	404694.65	92.84	0.0102009484841901	1.53303224580026	1.07528616052947	1.32663823238722	0.161919982383106	0.973141300116777	0.153875982113456	1
2013-07-31	6.31666666667	0.121260767606	266412	69550	51919	249	33198	1031238.99555	45.52101435	7603.9	736091.76	96.8	0.0101999912280075	1.52411144302871	1.07587500914494	1.32660127406786	0.161858131347874	0.971788966308077	0.152952207023871	1
2013-08-01	6.85	0.110432702142	238051	82370	45823	276	31084	1103374.37768	31.49185887	3234.66	308625.96	95.41	0.0101616102494066	1.51818789093338	1.07529425427268	1.32582210914433	0.161870969412862	0.970741840914827	0.152595341569413	1
2013-08-02	6.33333333333	0.122306959253	163294	84776	53174	325	33698	906937.487932	41.01530553	4281.65	408906.45	95.5	0.0100905628011402	1.51759115790688	1.07180561733324	1.32411396913755	0.161911593031973	0.966790738144728	0.151766716344972	1
2013-08-03	6.73333333333	0.117874475831	210492	53305	49065	282	25934	738992.073676	28.01755065	1726.16	163870.38	94.93	NA	NA	NA	NA	NA	NA	NA	NA
2013-08-04	6.75	0.116464955068	93830	46413	44605	255	20226	501888.051747	32.74170112	1758.42	166165.75	94.5	NA	NA	NA	NA	NA	NA	NA	NA
2013-08-05	6.6	0.107996582985	155819	57924	47903	261	25770	795629.125369	27.05473128	2960.02	283826.54	95.89	0.0101081572829273	1.52677583113859	1.07362144322636	1.32560242001978	0.16202203499676	0.963316892725031	0.151441725224134	1
2013-08-06	6.21666666667	0.118079881819	162196	61468	52260	191	27939	749616.265632	40.53861293	2972.16	287637	96.78	0.0101754864391292	1.53395407341504	1.07760478628942	1.32734435560086	0.162103717200339	0.963883293010882	0.151996011624655	1
2013-08-07	6.65	0.136743269183	147510	64048	57225	200	28170	805001.560942	30.18051369	2802.11	272648.11	97.3	0.0102650328840328	1.53794100458306	1.08031726757514	1.32958037113906	0.162151030713027	0.962399068397702	0.152520166979079	1
2013-08-08	6.35	0.119592709116	148904	61019	57036	278	28609	785257.108572	49.6207779	6100.3	577384.04	94.65	0.0103464616135928	1.54694594197406	1.08421416699283	1.33382773881519	0.162239423206403	0.961778906265028	0.15341705813586	1
2013-08-09	5.8	0.107874237574	137914	57904	53241	327	25338	640799.004245	45.849913	1830.48	172845.85	94.43	0.0103662499779717	1.5522334310723	1.0860369317719	1.33629991915385	0.162305253983377	0.967033817172587	0.153956054783723	1
2013-08-10	5.61666666667	0.113582457729	111037	52564	52040	353	23776	517153.942519	29.35579481	2384.64	222289.51	93.22	NA	NA	NA	NA	NA	NA	NA	NA
2013-08-11	5.2	0.082055631085	117769	43679	41059	397	19500	432494.389627	33.93550069	2784.64	261038.33	93.74	NA	NA	NA	NA	NA	NA	NA	NA
2013-08-12	5.25	0.103160966432	221673	70581	45811	316	27001	731015.442241	24.14323112	2775.71	261454.4	94.19	0.010359044481737	1.54997907528248	1.08288862707048	1.33338311296955	0.162268645478709	0.97056282938476	0.153647829954874	1
2013-08-13	6.15	0.138530060649	259010	75208	53484	269	33947	1196357.3343	29.55608972	2382.24	224848.13	94.39	0.0102813702599028	1.54663012495225	1.07786612687131	1.32949022026994	0.162197582607229	0.969631152309661	0.153236508291627	1
2013-08-14	8.41666666667	0.145777894305	188717	60659	50484	392	31876	1405350.26745	43.02378882	5075.75	491626.26	96.86	0.0102020932654962	1.54674495258453	1.07213771394508	1.3268776313642	0.162178380000162	0.967567149160152	0.153214673675727	1
2013-08-15	7.16666666667	0.163725384695	190244	66433	59029	367	32388	923708.574895	64.02507935	2589.69	250429.93	96.7	0.0102065186993629	1.55262385668661	1.0710250244997	1.32739897498251	0.162254954455034	0.967969876777435	0.153467914463123	1
2013-08-16	7.21666666667	0.165451787239	160380	69457	68301	307	32176	1099833.80928	45.60521477	1973.03	189730.43	96.16	0.0102450408879582	1.5601329857357	1.07666500860255	1.33178136411702	0.162342406109269	0.968729414499942	0.153589069373111	1
2013-08-17	5.83333333333	0.130394374623	110867	58546	59253	301	28976	983013.861818	29.42751688	1279.68	123757.2	96.71	NA	NA	NA	NA	NA	NA	NA	NA
2013-08-18	6.11666666667	0.114381136628	99527	42791	53134	278	25899	831928.947317	44.92668611	1290.94	125162.6	96.95	NA	NA	NA	NA	NA	NA	NA	NA
2013-08-19	7.11666666667	0.165978056661	181610	65506	69938	274	29673	1086202.69595	37.81465044	4699.54	466123.66	99.18	0.0102425434283841	1.56360429553372	1.07981915188844	1.33382418063181	0.162284445685019	0.968166679575556	0.153536011103724	1
2013-08-20	6.6	0.160356326656	208189	69460	66539	315	35589	955506.83403	45.78527809	2432.24	244158.14	100.38	0.0102559579423677	1.56538127991835	1.08353396770635	1.33619635672701	0.162238107135556	0.965595820901287	0.153713959840691	1
2013-08-21	5.2	0.129443511222	195696	70761	63416	328	37681	1186924.10213	34.14204628	5668.11	596204.12	105.19	0.0102605144621951	1.56676699197972	1.08720468802661	1.33881354343781	0.162269435415953	0.960910174116923	0.153584351597584	1
2013-08-22	5.63333333333	0.123600813059	174912	70737	62772	354	37527	890014.517465	37.04061907	3416.1	367683.56	107.63	0.010200813208829	1.5626416143963	1.08428470280298	1.33624992149532	0.162267065627292	0.954799778486451	0.152990817491134	1
2013-08-23	5.68333333333	0.122729310324	171005	68764	59969	381	34078	828835.101168	35.02624015	3521.03	367851.19	104.47	0.0101360357356076	1.55876869743053	1.08243734582033	1.33539875006677	0.162293137110111	0.95051613025873	0.153258349131715	1
2013-08-24	5.96666666667	0.124880518965	113599	54649	51085	310	27218	622248.642033	28.06437009	1949.82	206222.19	105.76	NA	NA	NA	NA	NA	NA	NA	NA
2013-08-25	8.28333333333	0.139371011641	107052	48105	45094	312	24835	565019.388274	30.74091178	3510.17	382163.2	108.87	NA	NA	NA	NA	NA	NA	NA	NA
2013-08-26	7.75	0.147914552981	140954	57471	53528	244	31010	642473.937222	27.45229801	2991.51	324299.08	108.41	0.0101319483635384	1.55767849827331	1.08349052975102	1.33703424412106	0.162342142559129	0.950733015154684	0.153680651605963	1
2013-08-27	7.61666666667	0.158273946407	193919	71151	61016	205	36873	895651.783455	51.94695338	6060.4	686628.73	113.3	0.0101937318742705	1.55553654344225	1.08531557178223	1.33727919848834	0.162323959665743	0.951420470762849	0.153624461930322	1
2013-08-28	7.01666666667	0.163275433158	197898	72494	63645	214	36209	817469.698324	243.52033894	3063.48	353240.32	115.31	0.0102515525976409	1.55283119948446	1.08700969069139	1.33653388648016	0.162296824662625	0.952598689224204	0.15374019137579	1
2013-08-29	5.93333333333	0.125775346852	224747	67844	61525	272	32714	2687667.89329	44.63568124	1712.81	197724.56	115.44	0.0102262977427493	1.55153019665645	1.08188225875378	1.33089336216936	0.16227996864751	0.952553319172041	0.153140294886952	1
2013-08-30	6.15	0.136290977911	159447	72629	60716	293	35621	727229.976175	43.30645342	5097.67	605380.59	118.76	0.0101891929344061	1.55044048014041	1.0760590842522	1.32487006336854	0.162253374870197	0.950362563317906	0.151890505172631	1
2013-08-31	6.55	0.104151960861	162165	82290	52533	369	33954	753757.547583	32.35235089	5162.41	638544.25	123.69	NA	NA	NA	NA	NA	NA	NA	NA
