Date	USD_Price_BTC
12-15-15	458.03
12-16-15	455.54
12-17-15	453.68
12-18-15	460
12-19-15	460.83
12-20-15	444.77
12-21-15	435.86
12-22-15	438.08
12-23-15	440.52
12-24-15	453.33
12-25-15	453.96
12-26-15	426.18
12-27-15	418.58
12-28-15	423.46
12-29-15	426.47
12-30-15	427.48
12-31-15	423.52
1-1-16	432.33
1-2-16	432.85
1-3-16	426.75
1-4-16	431.88
1-5-16	431.52
1-6-16	429.05
1-7-16	448.43
1-8-16	455.59
1-9-16	450.91
1-10-16	445.2
1-11-16	448.03
1-12-16	441.98
1-13-16	427.62
1-14-16	430.39
1-15-16	396.59
1-16-16	372.98
1-17-16	385.66
1-18-16	383.79
1-19-16	382.3
1-20-16	407.7
1-21-16	413.76
1-22-16	388.22
1-23-16	387.78
1-24-16	400.64
1-25-16	394.82
1-26-16	392.84
1-27-16	394.41
1-28-16	382.04
1-29-16	373
1-30-16	377.08
1-31-16	371.98
2-1-16	370.59
2-2-16	372.52
2-3-16	370.11
2-4-16	383.96
2-5-16	387.89
2-6-16	375.35
2-7-16	373.57
2-8-16	373.33
2-9-16	374.02
2-10-16	380.28
2-11-16	377.57
2-12-16	380.66
2-13-16	388.11
